KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,33,4,430,4045,S,10E,7c,2H,Vr,1,1,,1,62,,46,67,,1,593,228,46,33,1,3,1968
11,68,29,3,2135,4046,S,10E,7c,2H,Vr,1,2,1,,44,,46,67,,1,564,199,40,29,2,3,1968
11,68,34,4,609,4047,F,11H,2j,3U,Up,0,2,1,,57,,341,68,,1,235,235,47,34,2,4,1968
11,68,35,1,937,4048,L,11H,2j,3U,Up,1,1,,1,68,,341,67,,1,604,239,48,35,1,4,1968
11,68,33,1,1931,4049,S,02C,3i,4S,Sk,0,2,1,,49,,387,68,,1,225,225,45,33,2,5,1968
11,68,28,3,1841,4050,S,02C,3i,4S,Sk,2,1,,,65,,387,66,,1,922,192,39,28,1,5,1968
11,68,31,5,938,4051,D,02C,3i,4S,Sk,0,1,,,53,,387,68,,1,215,215,43,31,1,5,1968
11,68,29,1,2202,4052,S,09H,7f,3U,So,0,2,,,27,,117,68,,1,197,197,40,29,2,4,1968
11,68,29,1,2136,4053,S,09H,7f,3U,So,0,1,,1,30,,117,68,,1,197,197,40,29,1,4,1968
11,68,34,2,3048,4054,T,11E,6f,2H,Vs,0,1,,1,22,,374,68,,1,233,233,47,34,1,4,1968
11,68,36,2,1842,4055,S,09H,7f,3U,So,0,1,,1,50,,117,68,,1,247,247,50,36,1,4,1968
11,68,36,7,1843,4056,S,09H,7f,3U,So,0,1,,1,60,,117,68,,1,252,252,51,36,1,4,1968
11,68,37,3,1025,4057,G,10D,8h,2H,Vr,0,1,,1,62,,95,68,,1,255,255,51,37,1,3,1968
11,68,36,7,1932,4058,S,10D,8h,2H,Vr,1,1,,1,73,,95,67,,1,617,252,51,36,1,3,1968
11,68,37,4,3049,4059,T,12I,1f,3U,Up,0,1,,1,57,,434,68,,1,256,256,52,37,1,4,1968
11,68,39,3,711,4060,T,10I,6f,3U,Up,2,2,1,,59,,177,66,,1,999,269,54,39,2,4,1968
